"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 10- 29","22,000","21,950","22,200","21,900","65.11K","-0.90%"
"2024- 10- 28","22,200","21,650","22,200","21,650","425.65K","2.54%"
"2024- 10- 25","21,650","21,650","21,950","21,400","408.70K","0.00%"
"2024- 10- 24","21,650","21,700","21,850","21,500","229.24K","-0.23%"
"2024- 10- 23","21,700","21,650","21,800","21,400","355.41K","-0.23%"
"2024- 10- 22","21,750","22,200","22,450","21,450","547.69K","-3.12%"
"2024- 10- 21","22,450","22,800","23,200","22,450","667.64K","-0.88%"
"2024- 10- 18","22,650","22,600","22,850","22,400","522.28K","1.12%"
"2024- 10- 17","22,400","22,800","22,800","22,400","413.03K","-0.88%"
"2024- 10- 16","22,600","22,400","22,750","22,250","535.00K","0.00%"
"2024- 10- 15","22,600","22,500","22,650","22,200","510.28K","0.89%"
"2024- 10- 14","22,400","22,100","22,500","22,050","578.91K","1.36%"
"2024- 10- 11","22,100","21,950","22,350","21,950","474.04K","0.45%"
"2024- 10- 10","22,000","21,350","22,350","21,250","1.63M","3.29%"
"2024- 10- 08","21,300","21,150","21,350","20,900","416.06K","0.00%"
"2024- 10- 07","21,300","21,050","21,500","20,900","317.64K","0.24%"
"2024- 10- 04","21,250","21,150","21,300","20,800","507.38K","1.19%"
"2024- 10- 02","21,000","20,850","21,350","20,700","646.39K","-0.71%"
"2024- 09- 30","21,150","22,000","22,300","21,100","630.86K","-2.31%"
